userID,username,follower_count,verification_status
AEWBrazil,1460380516826370051,1089,True
TullyBFTR,1445112483019165702,443,True
BAndersonAEW,1404865002226475010,9847,True
730hook,1354688990750846976,24895,True
YUKES_AEW,1328918338991394817,9154,True
Jade_Cargill,1316145832492781568,96110,True
Thee_Red_Velvet,1272878343881359360,36661,True
AEWGames,1261083357800259585,71584,True
AEW_Heels,1261016959724007426,9780,True
AEWbyJazwares,1224814810610765825,10323,True
KillLutherKill,1215645419222388736,16780,True
TheJuliaHart,1206235194287636481,29532,True
AEWDark,1166533667805704194,24084,True
ShopAEW,1151270124432822280,22669,True
bearbronsonBC,1135972913113436163,3533,True
TopFlight612,1133957254091292672,17387,True
AEWonTV,1128707845589876736,399179,True
WWEonFOX,1115420364220145664,441469,True
TheArnShow,1104142803091763200,43620,True
Mr_Freakbeast,1096786431996059648,11323,True
LegitLeyla,1091831713469292544,29216,True
abadon_AEW,1086561428624949248,56830,True
jacyjaynewwe,1067849987453784067,22759,True
boy_myth_legend,1062824476432261120,127326,True
AEW,1054863627029598208,767386,True
itsjerrylynn,1052349139298717698,26661,True
CoraJadeWWE,1048807276767797248,69754,True
RefAubrey,971851524333711361,127462,True
AEWLive,936438213144645633,127051,True
BigShottyLee,904870814666731520,15188,True
realmarkostunt,856321660076609537,70360,True
ShawnDean773,849691659713433600,19120,True
lucha_angel1,848185426326282241,29675,True
bear_boulder,833127249062850563,5286,True
PENTAELZEROM,823733605025226752,126835,True
TrishAdora202,815929583971213313,11187,False
MadKing1981,815451826178977792,117799,True
Marq_Quen,815432719316451328,37454,True
TayConti_,791075512319873024,248946,True
TheDonCallis,779402923407060993,39340,True
JakeAtlasReal,778124942089064448,25155,True
ReyFenixMx,755061850262253568,106033,True
RealWardlow,752510522528927744,41799,True
DarbyAllin,728015864012771329,175355,True
WheelerYuta,4187272995,15569,True
IsiahKassidy,3410824275,45495,True
SonnyKissXO,3405370583,57614,True
DaniJordyn,3369885016,25797,False
SwoleWorld,3362663615,67159,True
SimoneGJohnson,3244861583,63702,True
MjcChioda,3060523643,14817,False
TheRealTMurdoch,3042485330,9299,False
Carmelo_WWE,2992832620,22772,True
Alan_V_Angels,2942110938,43951,True
riho_gtmv,2888370894,47641,True
KennyOmegamanX,2879312390,520055,True
DariusMartin612,2878456694,20535,True
TheKipSabian,2782789191,48076,True
