userID,username,follower_count,verification_status
AEWBrazil,1460380516826370051,1103,True
TullyBFTR,1445112483019165702,467,True
BAndersonAEW,1404865002226475010,9882,True
730hook,1354688990750846976,25007,True
YUKES_AEW,1328918338991394817,9158,True
Jade_Cargill,1316145832492781568,97867,True
Thee_Red_Velvet,1272878343881359360,36750,True
AEWGames,1261083357800259585,71635,True
AEW_Heels,1261016959724007426,9795,True
AEWbyJazwares,1224814810610765825,10337,True
KillLutherKill,1215645419222388736,16844,True
TheJuliaHart,1206235194287636481,30206,True
AEWDark,1166533667805704194,24126,True
ShopAEW,1151270124432822280,22755,True
bearbronsonBC,1135972913113436163,3555,True
TopFlight612,1133957254091292672,17443,True
AEWonTV,1128707845589876736,399468,True
WWEonFOX,1115420364220145664,442280,True
TheArnShow,1104142803091763200,43625,True
Mr_Freakbeast,1096786431996059648,11356,True
LegitLeyla,1091831713469292544,29311,True
abadon_AEW,1086561428624949248,56939,True
jacyjaynewwe,1067849987453784067,22883,True
boy_myth_legend,1062824476432261120,127504,True
AEW,1054863627029598208,767842,True
itsjerrylynn,1052349139298717698,26719,True
CoraJadeWWE,1048807276767797248,70581,True
RefAubrey,971851524333711361,127822,True
AEWLive,936438213144645633,127052,True
BigShottyLee,904870814666731520,15221,True
realmarkostunt,856321660076609537,70389,True
ShawnDean773,849691659713433600,19284,True
lucha_angel1,848185426326282241,29838,True
bear_boulder,833127249062850563,5341,True
PENTAELZEROM,823733605025226752,127087,True
TrishAdora202,815929583971213313,11197,False
MadKing1981,815451826178977792,118178,True
Marq_Quen,815432719316451328,37493,True
TayConti_,791075512319873024,249340,True
TheDonCallis,779402923407060993,39332,True
JakeAtlasReal,778124942089064448,25217,True
ReyFenixMx,755061850262253568,106303,True
RealWardlow,752510522528927744,42336,True
DarbyAllin,728015864012771329,175523,True
WheelerYuta,4187272995,15634,True
IsiahKassidy,3410824275,45546,True
SonnyKissXO,3405370583,57650,True
DaniJordyn,3369885016,25826,False
SwoleWorld,3362663615,67203,True
SimoneGJohnson,3244861583,63694,True
MjcChioda,3060523643,14820,False
TheRealTMurdoch,3042485330,9311,False
Carmelo_WWE,2992832620,23040,True
Alan_V_Angels,2942110938,44082,True
riho_gtmv,2888370894,47659,True
KennyOmegamanX,2879312390,520284,True
DariusMartin612,2878456694,20645,True
TheKipSabian,2782789191,48215,True
jmehytr,2729062619,72228,True
thunderrosa22,2660785910,152664,True
ShutUpExcalibur,2408462113,61485,True
RebelTanea,2352597950,99815,True
annajay___,2172692378,164501,True
RheaRipley_WWE,1958028342,456677,True
griffgarrison1,1713881011,25557,True
NylaRoseBeast,1446790507,83292,True
AndradeElIdolo,1443850159,298822,True
JackEvans711,1322038790,45505,True
AngelicoAAA,1260626695,48487,True
FuegoDelSol,1134545383,42829,True
GarciaWrestling,1066732146,18310,True
sammyguevara,775025786,184076,True
WWERomanReigns,739417207,4521491,True
briancagegmsi,637390557,101906,True
Ortiz_Powerful,594072003,62408,True
DaxFTR,575940227,302527,True
WWEBigE,533394907,940096,True
realrubysoho,529654692,370715,True
HoganKnowsBest3,518113700,55267,True
CodyRhodes,516771605,1004494,True
Pres10Vance,515085969,45810,True
Santana_Proud,504699572,95573,True
stu_dos,502260026,51420,True
BASTARDPAC,467169923,608819,True
callmekrisstat,467130861,98886,True
DiamanteLAX,459924108,39564,True
coltengunn,457634150,8837,True
Sting,456066070,648542,True
itsBayleyWWE,433804134,1655146,True
The_MJF,408051799,251762,True
TonyKhan,397823963,258840,True
JANELABABY,346727379,55628,True
AaronSoloAEW,337326610,13645,True
KORcombat,321562952,222888,True
TheMarkHenry,288000034,1307110,True
BladeofBuffalo,278836755,41305,True
IamLioRush,273122696,89268,True
TheRock,250831586,15682479,True
luchasaurus,239637813,118539,True
tonyschiavone24,238276429,138838,True
AnthonyOgogo,236854083,95556,True
ThisBrodieLee,222177340,516122,True
theAdamPage,195863018,283693,True
theaustingunn,194344162,25708,True
FrankieKazarian,186648669,222003,True
SilverNumber1,185752091,91405,True
ryrynemnem,181325123,41350,True
OfficialEGO,178505322,78514,True
CMPunk,177345928,2718611,True
QTMarshall,174453530,30542,True
JohnnyGargano,151583233,371525,True
shidahikaru,147929592,136159,True
JimmyHavoc,146415090,73049,True
AdamColePro,145870212,501831,True
JohnCena,141664648,13452059,True
dustinrhodes,135039839,708872,True
MarkSterlingEsq,133380410,12591,True
TheLethalJay,130655300,172221,True
WWERollins,122555803,3979883,True
RealArmandoHaHa,121606496,26663,False
LanceHoyt,120216237,122486,True
FlyinBrianJr,118499897,92853,True
bryandanielson,115682368,4600436,True
RealBrittBaker,115072361,277376,True
WWENXT,110895343,1550961,True
wrestlingleva,108863515,105999,True
HEELZiggler,105251590,2761857,True
CashWheelerFTR,98274121,266456,True
JRsBBQ,89556802,1737253,True
PlatinumMax,88373372,32719,True
TrueWillieHobbs,87507728,39771,True
TheBrandiRhodes,79863704,420381,True
YTAlexReynolds,78957018,40184,True
mexwarrior,71091067,425615,True
ReneePaquette,70725301,1205210,True
BeingTheElite,61691554,356660,True
